CODE,DATE,NAME.x,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust,Date2,Date3,SECTOR,NAME.y
UNGA,05-Aug-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,32.9,-,-,-,-,05-08-2019,2019-08-05,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Sep-19,Unga Group Ltd,26.1,36.5,32,32,32,32,-,-,-,-,10-09-2019,2019-09-10,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Sep-20,Unga Group Ltd,26.1,35,30,30,30,32,-2,6.25%,1100,-,28-09-2020,2020-09-28,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Feb-19,Unga Group Ltd,26.1,36.5,36.3,36.3,36.3,36.25,0.05,0.14%,500,-,19-02-2019,2019-02-19,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Jun-20,Unga Group Ltd,26.1,37,27.6,30,29.9,30,-0.1,0.33%,"2,100",-,10-06-2020,2020-06-10,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Sep-20,Unga Group Ltd,26.1,34.05,30,30.05,30,30,-,-,2700,-,14-09-2020,2020-09-14,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Feb-20,Unga Group Ltd,26.1,37,31,31,31,31,-,-,900,-,17-02-2020,2020-02-17,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Aug-19,Unga Group Ltd,26.1,37,36,36,36,36,-,-,-,-,22-08-2019,2019-08-22,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Sep-20,Unga Group Ltd,26.1,34.05,30,30,30,30,-,-,-,-,11-09-2020,2020-09-11,Manufacturing and Allied,Unga Group Ltd
UNGA,31-May-19,Unga Group Ltd,26.1,37,37,37.5,37.25,34.15,3.1,9.08%,"1,100",-,31-05-2019,2019-05-31,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Aug-20,Unga Group Ltd,26.1,34.05,30,30,30,30,-,-,-,-,07-08-2020,2020-08-07,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Sep-19,Unga Group Ltd,26.1,36.5,31.9,31.9,31.9,31.9,-,-,-,-,16-09-2019,2019-09-16,Manufacturing and Allied,Unga Group Ltd
UNGA,03-May-19,Unga Group Ltd,26.1,36.5,34.3,34.3,34.3,34.3,-,-,-,-,03-05-2019,2019-05-03,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Dec-19,Unga Group Ltd,26.1,37,31.9,31.9,31.9,31.9,-,-,-,-,16-12-2019,2019-12-16,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Apr-20,Unga Group Ltd,26.1,37,26.1,26.5,26.4,26.1,0.3,1.15%,700,-,14-04-2020,2020-04-14,Manufacturing and Allied,Unga Group Ltd
UNGA,25-Apr-19,Unga Group Ltd,26.1,37,34.3,34.3,34.3,31.2,3.1,9.94%,500,-,25-04-2019,2019-04-25,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Oct-19,Unga Group Ltd,26.1,37,31.5,32,31.55,31.650000000000002,-0.1,0.32%,"1,200",-,08-10-2019,2019-10-08,Manufacturing and Allied,Unga Group Ltd
UNGA,18-Nov-20,Unga Group Ltd,26.1,34.05,30.05,30.05,30.05,30.05,-,-,-,-,18-11-2020,2020-11-18,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Dec-19,Unga Group Ltd,26.1,37,31.9,31.9,31.9,33,-1.1,3.33%,200,-,11-12-2019,2019-12-11,Manufacturing and Allied,Unga Group Ltd
UNGA,13-May-19,Unga Group Ltd,26.1,37,31.5,31.5,31.5,34,-2.5,7.35%,100,-,13-05-2019,2019-05-13,Manufacturing and Allied,Unga Group Ltd
UNGA,09-Sep-19,Unga Group Ltd,26.1,37,32,32,32,32,-,-,-,-,09-09-2019,2019-09-09,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Oct-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,32.9,-,-,-,-,24-10-2019,2019-10-24,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Jun-19,Unga Group Ltd,26.1,36.5,33,33,33,33,-,-,100,-,24-06-2019,2019-06-24,Manufacturing and Allied,Unga Group Ltd
UNGA,10-May-19,Unga Group Ltd,26.1,37,34,34,34,31.5,2.5,7.94%,100,-,10-05-2019,2019-05-10,Manufacturing and Allied,Unga Group Ltd
UNGA,09-Apr-19,Unga Group Ltd,26.1,36.5,31,36.3,32.7,33.2,-0.5,1.51%,"2,100",-,09-04-2019,2019-04-09,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Jul-19,Unga Group Ltd,26.1,36.5,36.349999999999994,36.349999999999994,36.349999999999994,36.349999999999994,-,-,100,-,11-07-2019,2019-07-11,Manufacturing and Allied,Unga Group Ltd
UNGA,09-Dec-19,Unga Group Ltd,26.1,37,33,33,33,33,-,-,300,-,09-12-2019,2019-12-09,Manufacturing and Allied,Unga Group Ltd
UNGA,23-Jul-19,Unga Group Ltd,26.1,36.5,36.5,36.5,36.5,36.5,-,-,"1,000",-,23-07-2019,2019-07-23,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Jul-20,Unga Group Ltd,26.1,35,30,30,30,30,-,-,-,-,28-07-2020,2020-07-28,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Jul-19,Unga Group Ltd,26.1,36.5,36.5,36.5,36.5,36.5,-,-,-,-,24-07-2019,2019-07-24,Manufacturing and Allied,Unga Group Ltd
UNGA,02-Jan-19,Unga Group Ltd,26.1,36.5,39,39,39,39.449999999999996,-0.45,1.14%,100,-,02-01-2019,2019-01-02,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Mar-19,Unga Group Ltd,26.1,36.5,33.25,33.25,33.25,33.25,-,-,-,-,19-03-2019,2019-03-19,Manufacturing and Allied,Unga Group Ltd
UNGA,05-Jun-20,Unga Group Ltd,26.1,37,27.4,27.4,27.4,27.4,-,-,-,-,05-06-2020,2020-06-05,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Oct-19,Unga Group Ltd,26.1,37,31.650000000000002,31.650000000000002,31.650000000000002,31.650000000000002,-,-,-,-,07-10-2019,2019-10-07,Manufacturing and Allied,Unga Group Ltd
UNGA,26-Apr-19,Unga Group Ltd,26.1,37,34.3,34.3,34.3,34.3,-,-,-,-,26-04-2019,2019-04-26,Manufacturing and Allied,Unga Group Ltd
UNGA,20-Feb-19,Unga Group Ltd,26.1,37,36.3,39,36.8,36.3,0.5,1.38%,500,-,20-02-2019,2019-02-20,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Jan-19,Unga Group Ltd,26.1,37,38.75,38.75,38.75,38.5,0.25,0.65%,100,-,16-01-2019,2019-01-16,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Jan-19,Unga Group Ltd,26.1,37,38.75,38.75,38.75,38.75,-,-,-,-,22-01-2019,2019-01-22,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Apr-19,Unga Group Ltd,26.1,37,31.1,31.1,31.1,31.1,-,-,-,-,16-04-2019,2019-04-16,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Apr-19,Unga Group Ltd,26.1,37,31.2,31.2,31.2,31.2,-,-,-,-,24-04-2019,2019-04-24,Manufacturing and Allied,Unga Group Ltd
UNGA,01-Oct-19,Unga Group Ltd,26.1,37,34,34,34,34,-,-,-,-,01-10-2019,2019-10-01,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Sep-19,Unga Group Ltd,26.1,36.5,31.9,31.9,31.9,31.9,-,-,100,-,17-09-2019,2019-09-17,Manufacturing and Allied,Unga Group Ltd
UNGA,26-Jul-19,Unga Group Ltd,26.1,37,36.5,36.5,36.5,36.5,-,-,-,-,26-07-2019,2019-07-26,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Jun-19,Unga Group Ltd,26.1,37,35.5,35.5,35.5,37.25,-1.75,4.70%,100,-,10-06-2019,2019-06-10,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Jun-19,Unga Group Ltd,26.1,37,35,35,35,36,-1,2.78%,100,-,19-06-2019,2019-06-19,Manufacturing and Allied,Unga Group Ltd
UNGA,04-Oct-19,Unga Group Ltd,26.1,37,31.5,32.5,31.650000000000002,34.6,-2.95,8.53%,"3,500",-,04-10-2019,2019-10-04,Manufacturing and Allied,Unga Group Ltd
UNGA,13-Dec-19,Unga Group Ltd,26.1,37,31.9,31.9,31.9,31.9,-,-,-,-,13-12-2019,2019-12-13,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Dec-19,Unga Group Ltd,26.1,37,31.5,31.85,31.5,31.9,-0.4,1.25%,"2,500",-,17-12-2019,2019-12-17,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Aug-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,32.9,-,-,-,-,14-08-2019,2019-08-14,Manufacturing and Allied,Unga Group Ltd
UNGA,26-Feb-19,Unga Group Ltd,26.1,37,36.2,36.2,36.2,36.2,-,-,-,-,26-02-2019,2019-02-26,Manufacturing and Allied,Unga Group Ltd
UNGA,09-Aug-19,Unga Group Ltd,26.1,36.5,32.9,32.9,32.9,32.9,-,-,-,-,09-08-2019,2019-08-09,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Apr-20,Unga Group Ltd,26.1,37,26.1,26.1,26.1,29,-2.9,10.00%,300,-,08-04-2020,2020-04-08,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Oct-19,Unga Group Ltd,26.1,37,31.5,31.5,31.5,31.5,-,-,-,-,17-10-2019,2019-10-17,Manufacturing and Allied,Unga Group Ltd
UNGA,18-Sep-20,Unga Group Ltd,26.1,34.05,30.650000000000002,30.650000000000002,30.650000000000002,30.650000000000002,-,-,-,-,18-09-2020,2020-09-18,Manufacturing and Allied,Unga Group Ltd
UNGA,28-Jun-19,Unga Group Ltd,26.1,37,33,33,33,33,-,-,-,-,28-06-2019,2019-06-28,Manufacturing and Allied,Unga Group Ltd
UNGA,25-Sep-20,Unga Group Ltd,26.1,35,32,32,32,32,-,-,-,-,25-09-2020,2020-09-25,Manufacturing and Allied,Unga Group Ltd
UNGA,02-May-19,Unga Group Ltd,26.1,37,34.3,34.3,34.3,34.3,-,-,-,-,02-05-2019,2019-05-02,Manufacturing and Allied,Unga Group Ltd
UNGA,21-Jun-19,Unga Group Ltd,26.1,37,33,33,33,33,-,-,-,-,21-06-2019,2019-06-21,Manufacturing and Allied,Unga Group Ltd
UNGA,30-May-19,Unga Group Ltd,26.1,37,34.15,34.15,34.15,34.15,-,-,-,-,30-05-2019,2019-05-30,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Jun-19,Unga Group Ltd,26.1,36.5,36,36,36,38,-2,5.26%,100,-,17-06-2019,2019-06-17,Manufacturing and Allied,Unga Group Ltd
UNGA,05-Feb-19,Unga Group Ltd,26.1,37,35.5,37.5,36,38.25,-2.25,5.88%,"1,200",-,05-02-2019,2019-02-05,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Sep-20,Unga Group Ltd,26.1,34.05,32,32,32,30.05,1.95,6.49%,200,-,24-09-2020,2020-09-24,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Feb-20,Unga Group Ltd,26.1,37,33,33,33,33,-,-,-,-,06-02-2020,2020-02-06,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Jan-19,Unga Group Ltd,26.1,37,38.5,38.5,38.5,38.5,-,-,-,-,11-01-2019,2019-01-11,Manufacturing and Allied,Unga Group Ltd
UNGA,20-Apr-20,Unga Group Ltd,26.1,37,29,29,29,29,-,-,200,-,20-04-2020,2020-04-20,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Sep-20,Unga Group Ltd,26.1,34.05,30.05,30.05,30.05,30.05,-,-,-,-,22-09-2020,2020-09-22,Manufacturing and Allied,Unga Group Ltd
UNGA,01-Aug-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,36.4,-3.5,9.62%,"273,000",-,01-08-2019,2019-08-01,Manufacturing and Allied,Unga Group Ltd
UNGA,13-Mar-19,Unga Group Ltd,26.1,36.5,35,36,35,36,-1,2.78%,"100,100",-,13-03-2019,2019-03-13,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Aug-20,Unga Group Ltd,26.1,34.05,30,30,30,30,-,-,-,-,10-08-2020,2020-08-10,Manufacturing and Allied,Unga Group Ltd
UNGA,05-Mar-19,Unga Group Ltd,26.1,37,38,38,38,38,-,-,-,-,05-03-2019,2019-03-05,Manufacturing and Allied,Unga Group Ltd
UNGA,03-Aug-20,Unga Group Ltd,26.1,35,30,30,30,30,-,-,-,-,03-08-2020,2020-08-03,Manufacturing and Allied,Unga Group Ltd
UNGA,02-Jul-19,Unga Group Ltd,26.1,36.5,33.05,33.05,33.05,33.15,-0.1,0.30%,300,-,02-07-2019,2019-07-02,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Aug-19,Unga Group Ltd,26.1,36.5,33,33,33,32.9,0.1,0.30%,100,-,19-08-2019,2019-08-19,Manufacturing and Allied,Unga Group Ltd
UNGA,27-Aug-19,Unga Group Ltd,26.1,37,36,36,36,36,-,-,"1,000",-,27-08-2019,2019-08-27,Manufacturing and Allied,Unga Group Ltd
UNGA,09-May-19,Unga Group Ltd,26.1,37,31.5,31.5,31.5,31.5,-,-,-,-,09-05-2019,2019-05-09,Manufacturing and Allied,Unga Group Ltd
UNGA,14-Feb-20,Unga Group Ltd,26.1,37,31,31,31,30.1,0.9,2.99%,100,-,14-02-2020,2020-02-14,Manufacturing and Allied,Unga Group Ltd
UNGA,09-Jun-20,Unga Group Ltd,26.1,37,30,30,30,30,-,-,-,-,09-06-2020,2020-06-09,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Dec-19,Unga Group Ltd,26.1,37,33,33,33,33,-,-,300,-,10-12-2019,2019-12-10,Manufacturing and Allied,Unga Group Ltd
UNGA,02-Aug-19,Unga Group Ltd,26.1,37,32.9,32.9,32.9,32.9,-,-,-,-,02-08-2019,2019-08-02,Manufacturing and Allied,Unga Group Ltd
UNGA,18-Jan-19,Unga Group Ltd,26.1,36.5,38.75,38.75,38.75,38.75,-,-,-,-,18-01-2019,2019-01-18,Manufacturing and Allied,Unga Group Ltd
UNGA,20-Feb-20,Unga Group Ltd,26.1,37,31.5,34,33.849999999999994,33.9,-0.05,0.15%,"5,100",-,20-02-2020,2020-02-20,Manufacturing and Allied,Unga Group Ltd
UNGA,03-Jul-19,Unga Group Ltd,26.1,37,33.05,33.05,33.05,33.05,-,-,-,-,03-07-2019,2019-07-03,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Mar-19,Unga Group Ltd,26.1,37,35,35,35,38,-3,7.89%,"1,900",-,06-03-2019,2019-03-06,Manufacturing and Allied,Unga Group Ltd
UNGA,27-Mar-19,Unga Group Ltd,26.1,37,33.1,33.1,33.1,33.1,-,-,-,-,27-03-2019,2019-03-27,Manufacturing and Allied,Unga Group Ltd
UNGA,20-Aug-19,Unga Group Ltd,26.1,37,33,33,33,33,-,-,-,-,20-08-2019,2019-08-20,Manufacturing and Allied,Unga Group Ltd
UNGA,29-Sep-20,Unga Group Ltd,26.1,35,30,30,30,30,-,-,100,-,29-09-2020,2020-09-29,Manufacturing and Allied,Unga Group Ltd
UNGA,03-Jan-20,Unga Group Ltd,26.1,37,33.8,33.8,33.8,34,-0.2,0.59%,100,-,03-01-2020,2020-01-03,Manufacturing and Allied,Unga Group Ltd
UNGA,26-Sep-19,Unga Group Ltd,26.1,37,34,34,34,34,-,-,100,-,26-09-2019,2019-09-26,Manufacturing and Allied,Unga Group Ltd
UNGA,09-Nov-20,Unga Group Ltd,26.1,35,30.05,30.05,30.05,30.05,-,-,-,-,09-11-2020,2020-11-09,Manufacturing and Allied,Unga Group Ltd
UNGA,22-Jul-19,Unga Group Ltd,26.1,37,36.5,36.5,36.5,37,-0.5,1.35%,200,-,22-07-2019,2019-07-22,Manufacturing and Allied,Unga Group Ltd
UNGA,23-Oct-19,Unga Group Ltd,26.1,37,32,34,32.9,34,-1.1,3.24%,"1,600",-,23-10-2019,2019-10-23,Manufacturing and Allied,Unga Group Ltd
UNGA,25-Mar-19,Unga Group Ltd,26.1,36.5,33.1,33.1,33.1,33,0.1,0.30%,100,-,25-03-2019,2019-03-25,Manufacturing and Allied,Unga Group Ltd
UNGA,23-May-19,Unga Group Ltd,26.1,37,35,35,35,34,1,2.94%,"2,300",-,23-05-2019,2019-05-23,Manufacturing and Allied,Unga Group Ltd
UNGA,18-Mar-19,Unga Group Ltd,26.1,36.5,33.25,33.25,33.25,33.25,-,-,-,-,18-03-2019,2019-03-18,Manufacturing and Allied,Unga Group Ltd
UNGA,17-Nov-20,Unga Group Ltd,26.1,34.05,30.05,30.05,30.05,30.05,-,-,-,-,17-11-2020,2020-11-17,Manufacturing and Allied,Unga Group Ltd
UNGA,30-Apr-19,Unga Group Ltd,26.1,37,34.3,34.3,34.3,34.3,-,-,-,-,30-04-2019,2019-04-30,Manufacturing and Allied,Unga Group Ltd
UNGA,23-Aug-19,Unga Group Ltd,26.1,37,36,36,36,36,-,-,100,-,23-08-2019,2019-08-23,Manufacturing and Allied,Unga Group Ltd
UNGA,06-Apr-20,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-,06-04-2020,2020-04-06,Manufacturing and Allied,Unga Group Ltd
UNGA,01-Feb-19,Unga Group Ltd,26.1,37,38.25,38.25,38.25,38.25,-,-,-,-,01-02-2019,2019-02-01,Manufacturing and Allied,Unga Group Ltd
UNGA,30-Nov-20,Unga Group Ltd,26.1,35,30,30,30,30,-,-,-,-,30-11-2020,2020-11-30,Manufacturing and Allied,Unga Group Ltd
UNGA,27-Jul-20,Unga Group Ltd,26.1,35,30,30,30,30,-,-,-,-,27-07-2020,2020-07-27,Manufacturing and Allied,Unga Group Ltd
UNGA,16-Nov-20,Unga Group Ltd,26.1,35,30.05,30.05,30.05,30.05,-,-,-,-,16-11-2020,2020-11-16,Manufacturing and Allied,Unga Group Ltd
UNGA,20-May-19,Unga Group Ltd,26.1,37,34.1,34.1,34.1,35,-0.9,2.57%,100,-,20-05-2019,2019-05-20,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Jun-19,Unga Group Ltd,26.1,36.5,35.5,35.5,35.5,35.5,-,-,-,-,11-06-2019,2019-06-11,Manufacturing and Allied,Unga Group Ltd
UNGA,26-Mar-19,Unga Group Ltd,26.1,37,33.1,33.1,33.1,33.1,-,-,-,-,26-03-2019,2019-03-26,Manufacturing and Allied,Unga Group Ltd
UNGA,21-Mar-19,Unga Group Ltd,26.1,37,33,33,33,33,-,-,-,-,21-03-2019,2019-03-21,Manufacturing and Allied,Unga Group Ltd
UNGA,05-Jul-19,Unga Group Ltd,26.1,37,33.05,33.05,33.05,33.05,-,-,-,-,05-07-2019,2019-07-05,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Jan-19,Unga Group Ltd,26.1,37,35,36.4,35.849999999999994,36.3,-0.45,1.24%,"3,700",-,07-01-2019,2019-01-07,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Jan-19,Unga Group Ltd,26.1,37,35,35,35,35.849999999999994,-0.85,2.37%,"5,000",-,08-01-2019,2019-01-08,Manufacturing and Allied,Unga Group Ltd
UNGA,30-Mar-20,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-,30-03-2020,2020-03-30,Manufacturing and Allied,Unga Group Ltd
UNGA,26-Jun-19,Unga Group Ltd,26.1,37,33,33,33,33,-,-,"1,300",-,26-06-2019,2019-06-26,Manufacturing and Allied,Unga Group Ltd
UNGA,11-Apr-19,Unga Group Ltd,26.1,37,31.1,31.1,31.1,31.7,-0.6,1.89%,600,-,11-04-2019,2019-04-11,Manufacturing and Allied,Unga Group Ltd
UNGA,07-May-19,Unga Group Ltd,26.1,36.5,31.5,31.5,31.5,35,-3.5,10.00%,100,-,07-05-2019,2019-05-07,Manufacturing and Allied,Unga Group Ltd
UNGA,29-Jul-19,Unga Group Ltd,26.1,37,36.5,36.5,36.5,36.5,-,-,-,-,29-07-2019,2019-07-29,Manufacturing and Allied,Unga Group Ltd
UNGA,19-Nov-20,Unga Group Ltd,26.1,34.05,30.05,30.05,30.05,30.05,-,-,-,-,19-11-2020,2020-11-19,Manufacturing and Allied,Unga Group Ltd
UNGA,03-Dec-20,Unga Group Ltd,26.1,35,30,30.5,30.45,30,0.45,1.50%,2200,-,03-12-2020,2020-12-03,Manufacturing and Allied,Unga Group Ltd
UNGA,25-Feb-20,Unga Group Ltd,26.1,37,31,31,31,31,-,-,-,-,25-02-2020,2020-02-25,Manufacturing and Allied,Unga Group Ltd
UNGA,24-Feb-20,Unga Group Ltd,26.1,37,31,31,31,33.849999999999994,-2.85,8.42%,"2,100",-,24-02-2020,2020-02-24,Manufacturing and Allied,Unga Group Ltd
UNGA,08-Apr-19,Unga Group Ltd,26.1,37,33.2,33.2,33.2,33.2,-,-,-,-,08-04-2019,2019-04-08,Manufacturing and Allied,Unga Group Ltd
UNGA,12-Jul-19,Unga Group Ltd,26.1,37,36.349999999999994,36.349999999999994,36.349999999999994,36.349999999999994,-,-,100,-,12-07-2019,2019-07-12,Manufacturing and Allied,Unga Group Ltd
UNGA,12-Jun-19,Unga Group Ltd,26.1,37,35.5,35.5,35.5,35.5,-,-,-,-,12-06-2019,2019-06-12,Manufacturing and Allied,Unga Group Ltd
UNGA,10-Feb-20,Unga Group Ltd,26.1,37,30.1,30.1,30.1,30.1,-,-,-,-,10-02-2020,2020-02-10,Manufacturing and Allied,Unga Group Ltd
UNGA,02-Apr-20,Unga Group Ltd,26.1,37,29,29,29,29,-,-,-,-,02-04-2020,2020-04-02,Manufacturing and Allied,Unga Group Ltd
UNGA,07-Apr-20,Unga Group Ltd,26.1,37,29,29,29,29,-,-,"1,200",-,07-04-2020,2020-04-07,Manufacturing and Allied,Unga Group Ltd
